City_ID,City,Country,Lat,Lng,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
401,Bambous Virieux,MU,-20.34,57.76,71.85,73.22,56,20,14.97,few clouds
402,Yongchang,CN,30.04,119.73,82.13,82.13,87,97,1.9,overcast clouds
403,San Patricio,US,28.02,-97.52,77.41,84.83,68,33,6.67,scattered clouds
404,Aykhal,RU,66.0,111.5,60.35,60.35,58,67,5.3,broken clouds
405,Novyy Urgal,RU,51.07,132.56,79.52,79.52,48,98,1.43,overcast clouds
406,Laguna,US,38.42,-121.42,69.91,91.24,52,1,1.01,haze
407,Road Town,VG,18.42,-64.62,79.0,82.2,78,99,16.53,overcast clouds
408,Bandarbeyla,SO,9.49,50.81,82.67,82.67,57,21,27.49,few clouds
409,Eucaliptus,BO,-17.58,-67.52,40.69,40.69,52,8,2.91,clear sky
410,Ndola,ZM,-12.96,28.64,54.93,54.93,76,0,6.13,clear sky
411,Fortuna,US,40.6,-124.16,58.12,61.93,73,90,3.0,overcast clouds
412,Chiungutwa,TZ,-10.88,38.98,69.17,69.17,78,3,2.42,clear sky
413,Sumbe,AO,-11.21,13.84,69.75,69.75,93,41,6.46,scattered clouds
414,Dwarka,IN,22.24,68.97,82.13,82.13,72,100,10.49,overcast clouds
415,Mmabatho,ZA,-25.85,25.63,48.04,48.04,88,0,15.32,clear sky
416,Missoula,US,47.02,-113.8,59.16,67.1,50,46,1.39,scattered clouds
417,Sungaipenuh,ID,-2.08,101.38,75.15,75.15,76,98,1.88,overcast clouds
418,Senador Jose Porfirio,BR,-2.59,-51.95,76.5,76.5,84,75,3.36,broken clouds
419,Taltal,CL,-25.4,-70.48,56.75,56.75,81,2,3.71,clear sky
420,Woodward,US,36.43,-99.39,72.52,74.73,74,1,8.05,clear sky
421,Tautira,PF,-17.73,-149.15,78.82,78.82,75,7,9.31,clear sky
422,Aguimes,ES,27.91,-15.45,86.63,86.63,29,0,17.27,clear sky
423,Kawalu,ID,-7.38,108.21,83.84,83.84,64,83,4.9,broken clouds
424,Narsaq,GL,60.92,-46.05,48.42,48.42,98,100,0.6,moderate rain
425,Dukhovshchina,RU,55.19,32.41,65.26,65.26,72,78,2.35,broken clouds
426,Myitkyina,MM,25.38,97.4,76.39,76.39,100,100,1.34,light rain
427,Montijo,PT,38.71,-8.97,63.82,65.68,87,20,9.22,few clouds
428,Sechura,PE,-5.56,-80.82,64.31,64.31,79,28,11.18,scattered clouds
429,Almaznyy,RU,48.04,40.05,66.34,66.34,74,100,4.5,overcast clouds
430,Kieta,PG,-6.22,155.63,81.84,81.84,80,96,5.66,moderate rain
431,Poros,GR,37.5,23.45,78.4,81.43,52,0,14.88,clear sky
432,Karymskoye,RU,51.62,114.35,79.09,79.09,47,12,9.86,few clouds
433,Porto Velho,BR,-8.76,-63.9,75.25,75.25,83,13,1.14,smoke
434,Hunsur,IN,12.31,76.29,77.65,77.65,65,100,11.05,light rain
435,Acarau,BR,-2.89,-40.12,76.84,76.84,84,85,9.64,overcast clouds
436,Muzhi,RU,65.37,64.67,66.4,66.4,62,100,14.29,overcast clouds
437,Lakatoro,VU,-16.1,167.42,76.37,76.37,66,68,14.54,broken clouds
438,Oistins,BB,13.07,-59.53,78.89,78.89,83,20,12.66,few clouds
439,Rolante,BR,-29.65,-50.58,56.88,60.04,98,12,1.77,few clouds
440,Gunjur,GM,13.2,-16.73,77.07,77.07,94,20,0.0,few clouds
441,Garwolin,PL,51.9,21.61,62.26,69.66,88,100,5.97,light rain
442,Voyinka,UA,45.87,33.99,73.96,73.96,52,4,7.61,clear sky
443,Tatawin,TN,32.93,10.45,77.22,77.22,50,18,3.94,few clouds
444,Gainesville,US,29.65,-82.32,76.57,78.67,88,1,3.44,clear sky
445,Anina,RO,45.08,21.86,65.35,66.04,48,0,5.08,clear sky
446,Boguchany,RU,58.38,97.45,69.91,69.91,45,80,7.43,broken clouds
447,Andenes,NO,69.31,16.12,49.98,49.98,76,75,17.27,broken clouds
448,Manavgat,TR,36.79,31.44,84.61,84.61,28,0,6.51,clear sky
449,Kudahuvadhoo,MV,2.67,72.89,82.31,82.31,71,73,13.49,broken clouds
450,Lazdijai,LT,54.23,23.52,59.83,59.83,81,88,6.46,overcast clouds
451,Ouesso,CG,1.61,16.05,71.35,71.35,88,76,1.68,broken clouds
452,Gorin,RU,51.2,136.67,82.54,82.54,46,90,3.22,overcast clouds
453,Culebra,PR,18.3,-65.3,77.16,82.2,79,100,17.22,overcast clouds
454,Ovsyanka,RU,55.96,92.55,72.57,72.57,46,95,3.94,overcast clouds
455,Luganville,VU,-15.53,167.17,75.24,75.24,75,93,15.1,overcast clouds
456,Tingo Maria,PE,-9.29,-76.01,69.31,69.31,85,46,1.68,scattered clouds
457,Bowen,AU,-20.02,148.23,73.02,73.02,63,45,19.28,scattered clouds
458,Terrace Bay,CA,48.78,-87.1,63.34,63.34,82,4,5.23,clear sky
459,Saint-Joseph,RE,-21.37,55.62,64.78,68.36,77,81,14.76,light rain
460,Shimoda,JP,34.67,138.95,73.51,73.51,93,100,12.5,overcast clouds
461,Synya,RU,65.37,58.04,62.53,62.53,80,100,12.03,overcast clouds
462,Airai,TL,-8.93,125.41,70.2,70.2,61,64,5.61,broken clouds
463,Kaputa,ZM,-8.47,29.66,68.38,68.38,58,2,6.42,clear sky
464,Belmira,CO,6.61,-75.67,52.14,54.07,96,91,1.68,overcast clouds
465,Goba,ET,7.02,39.98,54.5,54.5,83,54,2.39,light rain
466,Touros,BR,-5.2,-35.46,70.7,70.7,82,64,14.76,broken clouds
467,Takhli,TH,15.26,100.34,85.37,85.37,67,100,8.52,overcast clouds
468,Las Juntas,MX,19.42,-104.7,74.32,74.32,95,76,1.81,broken clouds
469,Mizdah,LY,31.45,12.98,70.83,70.83,75,4,4.7,clear sky
470,Alappuzha,IN,9.49,76.33,79.57,79.57,78,100,7.2,overcast clouds
471,Kovdor,RU,67.57,30.48,43.07,43.07,92,100,7.85,overcast clouds
472,Shetpe,KZ,44.17,52.12,82.31,82.31,19,0,11.3,clear sky
473,Batagay,RU,67.63,134.63,51.04,51.04,78,100,3.69,light rain
474,Fairbanks,US,64.84,-147.72,48.49,53.56,91,90,4.0,overcast clouds
475,Klaksvik,FO,62.23,-6.59,40.12,40.12,73,87,4.97,overcast clouds
476,Huilong,CN,31.81,121.66,85.03,85.03,81,92,10.09,overcast clouds
477,Huarmey,PE,-10.07,-78.15,62.17,62.17,86,69,8.72,broken clouds
478,Charters Towers,AU,-20.1,146.27,80.83,80.83,29,30,7.94,scattered clouds
479,Methoni,GR,36.82,21.7,64.26,77.22,60,0,2.68,clear sky
480,Iqaluit,CA,63.75,-68.51,41.63,41.63,91,100,6.53,overcast clouds
481,Pedernales,DO,18.04,-71.74,82.11,82.11,80,79,5.3,broken clouds
482,Camacha,PT,33.08,-16.33,67.42,84.96,94,20,14.97,few clouds
483,Alice Springs,AU,-23.7,133.88,69.35,69.35,13,0,12.66,clear sky
484,Quartucciu,IT,39.25,9.18,71.47,72.88,67,0,6.91,clear sky
485,Dombarovskiy,RU,50.76,59.54,83.14,83.14,17,95,5.5,overcast clouds
486,Malinyi,TZ,-8.93,36.13,68.14,68.14,77,24,2.55,light rain
487,Cochrane,CA,51.18,-114.47,64.62,74.05,37,29,7.16,scattered clouds
488,Urambo,TZ,-5.07,32.05,67.6,67.6,51,46,7.36,scattered clouds
489,Luanda,AO,-8.84,13.23,71.6,71.6,94,75,5.75,broken clouds
490,Port-Gentil,GA,-0.72,8.78,76.71,76.71,84,96,13.73,overcast clouds
491,Nobres,BR,-14.72,-56.33,76.26,76.26,36,3,4.38,clear sky
492,Soloneshnoye,RU,51.65,84.32,69.6,69.6,59,10,7.45,clear sky
493,Linhares,BR,-19.39,-40.07,64.08,64.08,92,6,2.44,clear sky
494,Dalhousie,IN,32.53,75.98,69.69,69.69,56,0,4.0,clear sky
495,Genc,TR,38.75,40.56,75.56,75.56,50,0,6.91,clear sky
496,Nazca,PE,-14.83,-74.95,63.59,63.59,58,1,1.72,clear sky
497,Gobabis,NA,-22.45,18.97,54.84,54.84,43,0,17.29,clear sky
498,Fortuna Foothills,US,32.66,-114.41,92.21,93.25,53,1,0.0,clear sky
499,Coolum Beach,AU,-26.53,153.1,76.33,76.33,61,29,5.68,scattered clouds
500,Dubreka,GN,9.79,-13.52,73.09,73.09,96,100,0.58,light rain
501,Zyryanka,RU,65.75,150.85,46.72,46.72,90,100,9.93,light rain
502,Faya,SA,18.39,42.45,73.92,73.92,36,99,6.69,overcast clouds
503,Itarema,BR,-2.92,-39.92,77.99,77.99,79,98,11.43,overcast clouds
504,Fare,PF,-16.7,-151.02,79.16,79.16,73,17,10.42,few clouds
505,Tortoli,IT,39.93,9.66,80.98,80.98,39,3,4.68,clear sky
506,Saint-Augustin,CA,51.23,-58.65,60.4,60.4,77,83,12.26,broken clouds
507,Sakakah,SA,29.97,40.21,85.91,85.91,21,0,9.37,clear sky
508,Umm Kaddadah,SD,13.6,26.69,80.1,80.1,64,82,11.79,broken clouds
509,Antofagasta,CL,-23.65,-70.4,57.52,57.52,76,34,8.03,scattered clouds
510,Bernau,DE,52.68,13.59,59.68,67.62,72,24,5.14,few clouds
511,Arlit,NE,18.74,7.39,89.47,89.47,33,94,4.03,overcast clouds
512,Roswell,US,34.02,-84.36,71.22,77.97,88,1,0.0,clear sky
513,Kupang,ID,-10.17,123.58,91.98,91.98,43,20,24.16,few clouds
514,Bonavista,CA,48.65,-53.11,63.23,63.23,100,81,10.16,light rain
515,Richards Bay,ZA,-28.78,32.04,58.5,58.5,85,2,3.83,clear sky
516,Kelvington,CA,52.17,-103.53,69.01,69.01,34,11,9.69,few clouds
517,Puerto Escondido,MX,15.85,-97.07,79.41,79.41,85,100,3.87,overcast clouds
518,Khani,GE,41.96,42.96,62.17,62.17,86,100,3.09,overcast clouds
519,Vlore,AL,40.47,19.49,79.72,79.72,50,0,3.94,clear sky
520,Crotone,IT,39.09,17.12,76.93,76.93,57,0,2.17,clear sky
521,Sidi Ali,DZ,36.1,0.42,76.24,76.24,62,48,3.78,scattered clouds
522,Marawi,PH,8.0,124.29,76.64,76.64,79,81,6.53,broken clouds
523,Yabrud,SY,33.97,36.66,63.52,67.66,33,0,1.41,clear sky
524,Komsomolskiy,UZ,40.43,71.72,76.35,79.52,17,0,16.11,clear sky
525,Nelson Bay,AU,-32.72,152.15,69.85,75.96,35,0,3.0,clear sky
526,Guiglo,CI,6.55,-7.5,67.59,67.59,94,84,2.44,broken clouds
527,Paratinga,BR,-12.69,-43.18,69.98,69.98,45,6,3.24,clear sky
528,Batouri,CM,4.43,14.37,67.03,67.03,99,100,2.66,overcast clouds
529,Boleslawiec,PL,51.26,15.57,61.59,67.01,79,96,8.03,overcast clouds
530,Ekhabi,RU,53.51,142.97,76.44,76.44,53,19,6.69,few clouds
531,Nuzvid,IN,16.78,80.85,77.85,77.85,89,100,9.73,overcast clouds
532,San Rafael Del Sur,NI,11.85,-86.44,74.71,74.71,91,97,7.9,overcast clouds
533,Acajutla,SV,13.59,-89.83,79.81,79.81,87,90,3.96,overcast clouds
534,Dolni Dabnik,BG,43.4,24.43,67.82,67.82,64,1,2.3,clear sky
535,Chenzhou,CN,25.8,113.03,86.83,86.83,73,84,2.89,light rain
536,Mount Isa,AU,-20.73,139.5,82.17,82.17,17,1,17.27,clear sky
537,Navoloki,RU,57.47,41.96,67.89,67.89,69,54,6.51,broken clouds
538,Porangatu,BR,-13.44,-49.15,72.82,72.82,29,0,1.81,clear sky
539,Wellington,NZ,-41.29,174.78,53.56,55.81,87,75,7.0,broken clouds
540,Rawatsar,IN,29.28,74.38,98.26,98.26,33,0,8.01,clear sky
541,Valentin Gomez Farias,MX,28.22,-106.58,67.75,67.75,71,100,2.51,overcast clouds
542,Nishiwaki,JP,34.98,134.97,76.35,76.35,84,100,1.97,overcast clouds
543,Elizabeth City,US,36.29,-76.25,73.04,79.0,95,40,5.75,scattered clouds
544,George Town,MY,5.41,100.34,80.53,84.88,78,40,9.22,scattered clouds
545,Aksarka,RU,66.56,67.8,63.01,63.01,56,74,16.26,broken clouds
546,Aitape,PG,-3.14,142.35,85.26,85.26,71,57,10.16,broken clouds
547,Shahr-E Kord,IR,32.33,50.86,74.73,74.73,16,0,5.97,clear sky
548,Lipari,IT,38.47,14.95,77.27,82.78,59,0,2.57,clear sky
549,Mogadishu,SO,2.04,45.34,77.32,77.32,78,37,20.0,scattered clouds
550,Beyla,GN,8.68,-8.63,66.76,66.76,98,99,3.62,overcast clouds
551,Yazykovo,RU,55.22,56.14,75.72,75.72,42,22,6.02,few clouds
552,Manadhoo,MV,5.77,73.38,81.86,81.86,76,100,15.88,overcast clouds
553,Yamada,JP,39.47,141.95,69.15,69.15,72,100,4.92,light rain
554,Ati,TD,13.22,18.34,77.36,77.36,77,57,6.64,broken clouds
555,Lasem,ID,-6.69,111.45,88.07,88.07,55,96,8.95,overcast clouds
556,Sitka,US,57.05,-135.33,55.29,55.29,88,90,0.0,overcast clouds
557,Ixtapa,MX,20.7,-105.2,79.23,79.23,88,97,1.01,overcast clouds
558,Nehe,CN,48.48,124.83,77.22,77.22,59,0,3.27,clear sky
559,Buraydah,SA,26.33,43.98,91.56,91.56,13,0,3.67,clear sky
560,Svetlyy,RU,54.67,20.13,59.05,59.05,71,100,11.68,overcast clouds
561,Boyolangu,ID,-8.12,111.89,84.27,84.27,66,51,9.89,broken clouds
562,Lengede,DE,52.2,10.31,59.61,63.72,70,62,4.0,broken clouds
563,Ariquemes,BR,-9.91,-63.04,75.81,75.81,46,0,0.02,clear sky
564,Eydhafushi,MV,5.1,73.07,82.22,82.22,74,100,15.84,overcast clouds
565,Amapa,BR,1.0,-52.0,70.05,70.05,99,100,1.39,overcast clouds
566,Rio Grande,BR,-32.03,-52.1,55.94,55.94,87,0,2.15,clear sky
567,Sarana,RU,56.48,57.73,72.19,72.19,57,50,3.04,scattered clouds
568,Ormara,PK,25.21,64.64,80.2,80.2,78,100,7.72,overcast clouds
569,Dudinka,RU,69.41,86.18,49.44,49.44,91,100,15.64,overcast clouds
570,Nongan,CN,44.38,125.17,76.39,76.39,67,100,6.62,overcast clouds
571,Langxiang,CN,46.95,128.88,79.99,79.99,38,5,5.46,clear sky
572,Amalapuram,IN,16.58,82.02,84.58,84.58,80,100,9.46,overcast clouds
573,Luzhou,CN,28.87,105.44,88.25,88.25,62,95,3.13,light rain
574,Valparaiso,CL,-33.04,-71.63,51.13,51.13,88,100,9.55,overcast clouds
575,Ames,US,42.03,-93.62,60.39,66.97,85,1,3.44,clear sky
576,Emba,KZ,48.83,58.14,84.52,84.52,17,3,5.14,clear sky
577,Leningradskaya,RU,46.32,39.39,70.79,70.79,76,78,7.43,broken clouds
578,General Pico,AR,-35.66,-63.76,51.91,51.91,46,100,12.57,overcast clouds
579,Corralillo,CU,22.98,-80.59,76.53,76.53,87,95,6.62,overcast clouds
580,Tupik,RU,54.43,119.93,77.31,77.31,47,3,9.75,clear sky
581,Sapouy,BF,11.55,-1.77,72.57,72.57,88,100,5.21,overcast clouds
582,Abu Dhabi,AE,24.47,54.37,95.11,96.82,71,12,3.44,few clouds
583,Cozumel,MX,20.51,-86.95,75.18,80.67,89,1,3.44,clear sky
584,Hamilton,US,39.18,-84.53,66.79,71.55,81,90,3.44,overcast clouds
585,Albemarle,US,35.35,-80.2,70.59,74.73,99,40,3.44,scattered clouds
586,Surt,LY,31.21,16.59,78.64,78.64,72,0,2.93,clear sky
587,Nokha,IN,27.6,73.42,92.44,92.44,42,4,11.56,clear sky
588,Pultusk,PL,52.7,21.08,62.65,70.05,85,100,5.14,overcast clouds
589,Dovolnoye,RU,54.5,79.67,73.62,73.62,54,75,6.98,broken clouds
590,Skelleftea,SE,64.75,20.95,53.96,55.99,66,75,1.01,broken clouds
591,Guerrero Negro,MX,27.98,-114.06,72.14,72.14,80,41,12.5,scattered clouds
592,Kropotkin,RU,45.44,40.58,71.69,71.69,78,84,7.02,broken clouds
593,Meulaboh,ID,4.14,96.13,81.27,81.27,75,100,5.55,overcast clouds
